汇编语言程序设计 1.5 24
汇编语言程序设计实验 1.0 32
信号与线性系统 2.5 40
数据结构课程设计 0.5 1
数字电路与逻辑设计(一) 3.5 56
数字电路与逻辑设计实验 0.5 16
模拟电子技术(二) 3.0 48
毛泽东思想中国特色社会主义理论体系概论 4.0 64
大学体育(四) 1.0 32
游戏开发核心导论 2.5 40
Verilog语言 1.0 32
计算机系统基础 2.5 40
软件工程 2.0 32
并行与串行数据结构及算法课程设计 0.5 1
高级数据结构与算法 1.0 16
嵌入式操作系统原理 3.5 56
嵌入式操作系统原理实验 0.5 16
数据库系统原理 3.0 48
数据库系统原理实验 1.0 32
程序设计基础综合课程设计 1.0 2
逻辑与计算机设计基础 4.0 64
逻辑与计算机设计基础实验 1.0 32
密码学原理 4.0 63
软件安全 3.5 56
软件安全实验 1.0 32
信息安全数学基础 4.0 64
西方文化 2.0 32
